round,grand_prix,constructor,driver,lap,position,time
1,Bahrain,Red Bull,VER,4,1,96.647
1,Bahrain,Mercedes,RUS,4,2,97.738
1,Bahrain,Ferrari,LEC,4,3,97.752
1,Bahrain,Red Bull,PER,4,4,97.722
1,Bahrain,Ferrari,SAI,4,5,97.264
1,Bahrain,McLaren,NOR,4,6,97.45
1,Bahrain,Aston Martin,ALO,4,7,97.776
1,Bahrain,McLaren,PIA,4,8,97.897
1,Bahrain,Mercedes,HAM,4,9,98.287
1,Bahrain,Racing Bulls,TSU,4,10,98.31
1,Bahrain,Williams,ALB,4,11,98.422
1,Bahrain,Haas,MAG,4,12,98.497
1,Bahrain,Kick Sauber,ZHO,4,13,98.428
1,Bahrain,Williams,SAR,4,14,98.39
1,Bahrain,Racing Bulls,RIC,4,15,98.61
1,Bahrain,Alpine,OCO,4,16,98.625
1,Bahrain,Alpine,GAS,4,17,98.503
1,Bahrain,Kick Sauber,BOT,4,18,98.643
1,Bahrain,Aston Martin,STR,4,19,98.364
1,Bahrain,Haas,HUL,4,20,97.349
1,Bahrain,Red Bull,VER,12,1,97.045
1,Bahrain,Ferrari,SAI,12,2,97.65
1,Bahrain,Red Bull,PER,12,3,100.277
1,Bahrain,McLaren,NOR,12,4,98.082
1,Bahrain,McLaren,PIA,12,5,100.739
1,Bahrain,Aston Martin,ALO,12,6,98.543
1,Bahrain,Mercedes,HAM,12,7,100.889
1,Bahrain,Racing Bulls,TSU,12,8,98.769
1,Bahrain,Williams,ALB,12,9,98.934
1,Bahrain,Racing Bulls,RIC,12,10,98.893
1,Bahrain,Mercedes,RUS,12,11,118.46
1,Bahrain,Alpine,GAS,12,12,101.456
1,Bahrain,Ferrari,LEC,12,13,117.471
1,Bahrain,Kick Sauber,BOT,12,14,103.145
1,Bahrain,Kick Sauber,ZHO,12,15,96.995
1,Bahrain,Aston Martin,STR,12,16,97.175
1,Bahrain,Haas,MAG,12,17,119.682
1,Bahrain,Alpine,OCO,12,18,97.599
1,Bahrain,Haas,HUL,12,19,97.706
1,Bahrain,Williams,SAR,12,20,98.493
1,Bahrain,Red Bull,VER,9,1,97.229
1,Bahrain,Mercedes,RUS,9,2,97.73
1,Bahrain,Red Bull,PER,9,3,97.596
1,Bahrain,Ferrari,LEC,9,4,97.844
1,Bahrain,Ferrari,SAI,9,5,98.03
1,Bahrain,McLaren,NOR,9,6,98.064
1,Bahrain,McLaren,PIA,9,7,98.096
1,Bahrain,Aston Martin,ALO,9,8,98.896
1,Bahrain,Mercedes,HAM,9,9,98.645
1,Bahrain,Racing Bulls,TSU,9,10,98.554
1,Bahrain,Williams,ALB,9,11,98.652
1,Bahrain,Haas,MAG,9,12,98.861
1,Bahrain,Williams,SAR,9,13,99.366
1,Bahrain,Racing Bulls,RIC,9,14,99.338
1,Bahrain,Alpine,OCO,9,15,99.312
1,Bahrain,Kick Sauber,ZHO,9,16,101.849
1,Bahrain,Alpine,GAS,9,17,99.452
1,Bahrain,Kick Sauber,BOT,9,18,99.425
1,Bahrain,Aston Martin,STR,9,19,102.112
1,Bahrain,Haas,HUL,9,20,97.883
1,Bahrain,Red Bull,VER,26,1,95.223
1,Bahrain,Red Bull,PER,26,2,96.347
1,Bahrain,Ferrari,SAI,26,3,96.221
1,Bahrain,Mercedes,RUS,26,4,96.801
1,Bahrain,Ferrari,LEC,26,5,96.81
1,Bahrain,McLaren,NOR,26,6,96.566
1,Bahrain,McLaren,PIA,26,7,96.882
1,Bahrain,Mercedes,HAM,26,8,96.714
1,Bahrain,Aston Martin,ALO,26,9,97.638
1,Bahrain,Kick Sauber,ZHO,26,10,97.995
1,Bahrain,Racing Bulls,TSU,26,11,98.058
1,Bahrain,Aston Martin,STR,26,12,98.133
1,Bahrain,Haas,MAG,26,13,98.093
1,Bahrain,Williams,ALB,26,14,98.1
1,Bahrain,Racing Bulls,RIC,26,15,98.029
1,Bahrain,Alpine,OCO,26,16,98.665
1,Bahrain,Kick Sauber,BOT,26,17,98.308
1,Bahrain,Alpine,GAS,26,18,98.379
1,Bahrain,Haas,HUL,26,19,96.548
1,Bahrain,Williams,SAR,26,20,97.859
1,Bahrain,Red Bull,VER,8,1,97.024
1,Bahrain,Mercedes,RUS,8,2,97.862
1,Bahrain,Red Bull,PER,8,3,97.838
1,Bahrain,Ferrari,LEC,8,4,98.136
1,Bahrain,Ferrari,SAI,8,5,98.183
1,Bahrain,McLaren,NOR,8,6,98.134
1,Bahrain,McLaren,PIA,8,7,97.956
1,Bahrain,Aston Martin,ALO,8,8,98.103
